S,D1,D2,D3,D4,D5,D6,D7,C
R,106.21,86.74,15.29,32.99,27.77,77.42,78.64,N
R,0,0,0,0,0,0,0,Y
R,0,0,1262.6,9534.4,53480.55,36727.5,21245.9,N
R,0,0,1.52,147.46,58.61,0,3.13,N
R,0,0,228.66,0,0,29.98,0,N
R,27501.24,20695.59,0,0,2014.21,14464.05,5949.01,N
R,1561.2,0,1305.19,1570.44,1616.91,846.62,803.45,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,802.87,293.23,493.83,0,12.18,0,N
R,0,0,0,0,0,0,0,Y
R,0,0.27,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,9,10.5,19.5,N
R,11.5,0,0,0,0,0,0,N
R,391.61,798.6,1125.53,831.44,604.72,654.96,1930.38,N
R,515.9,0,1878.54,0,6446,2003.35,104.68,N
R,14.99,0,1.5,408.69,0,1972.25,9734.85,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,893.67,1380.69,729.59,139.85,197.83,600.96,589.36,N
R,0,97.4,108.64,619.1,521.46,149.84,16.49,N
R,34.68,110.65,72.65,33.88,30.42,54.73,220.08,N
R,0.45,0,0,2.26,0,0,0,N
R,787.07,0,2222.98,693.5,328.74,1606.54,1080.89,N
R,0,0,0,294.12,0,0,0,N
R,0,0,0,12.95,1.51,0.13,0,N
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,368.09,62.95,0,0,120.33,32.04,N
R,0,0,0,0,5.9,0,0,N
R,515.63,0,38.43,1626.29,304.45,0,0,N
R,0,1117.47,0,0,165.06,0,0,N
R,0,0,0,0,0,0,0,Y
R,215.59,0,0,0,440.84,1356.3,1068.37,N
F,0,0,0,0,0,0,0,Y
R,44.97,119.91,329.72,299.74,187.35,284.77,179.85,N
R,4.87,0,19.94,8.74,23.05,5.81,16.1,N
R,0,0,0,0,0,0,0,Y
R,0.71,1.04,0,0.87,5.94,1.64,1.83,N
F,0,0,0,0,0,0,0,Y
R,165.32,197.72,27.42,0,0,0,0,N
R,0.76,90,0,29.98,0,0,0,N
R,22.49,0,0,0,0,11.24,3.75,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,143.86,120.15,21.4,N
F,0,0,0,0,0,0,0,Y
R,12.45,25.36,63.28,22.51,8.7,31.51,6.01,N
R,224.23,647.18,430.04,0,0,0,0,N
R,1306.29,1436.32,936.95,2282.32,826,5138.16,5679.73,N
R,0,0,0,0,0,0,0,Y
R,353.2,796.75,0,172.94,231.66,2927.6,1420.87,N
R,17.79,19.78,0,0,0,0,0.04,N
R,3.82,0,14.98,18.74,3.75,3.75,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,3958.09,563.53,11.24,1.5,247.61,192.72,1323.68,N
R,0,0,0,0,0,0,0,Y
R,18.74,1409.38,44.42,744.69,660.51,766.74,1653.23,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,365.75,204.36,370.09,251.41,53.25,0,19.31,N
R,0,6.01,1.5,25.48,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,84791.69,75140.03,12159.9,0,26237.3,63780.11,103563.6,N
R,0,0,0,0,0,0,0,Y
R,0,0,2053.49,348.34,746.39,1656.92,1562.11,N
R,968.23,0,0,697.25,873.91,250.76,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0.76,0,N
R,0,2.28,0,0,9,0,9.73,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,122.9,42.72,0,0,7958.38,201.2,5240.38,N
R,580.31,282.11,52.13,181.67,45.52,70.53,33.77,N
R,0,0,0,0,0,0,0,Y
R,6443.26,0,0,1901.32,0,0,0,N
R,472.77,87.49,1.95,46.96,28.53,0,0,N
R,4.06,0,0,0,0.5,0,1.77,N
R,4.06,1.58,0,0.66,0,8.74,2.45,N
R,0,0,0,0,0,0,0,Y
R,338.1,1565.57,1424.83,1041.8,1502.07,876.17,2721.45,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,149.86,297.07,146.1,214.67,135.25,153.61,297.83,N
R,1.69,2.75,0,0,0,0,0,N
R,38.91,110.29,8.97,68.83,0,187.76,54.87,N
