S,D1,D2,D3,D4,D5,D6,D7,C
F,0,0,0,2,0,0,0,N
PF,0,0,0,0,2,0,0,N
R,0,0,0,0,0,4,0,N
R,2,0,0,0,0,0,0,N
R,0,0,0.1,0.1,0,4,0.1,N
R,1,0,1,0,1,0,0,N
PF,3,10,7,4,8,7,1,N
F,0,0,0,0,0,0,0.1,N
F,0,0,0,0,121,32,22,N
PF,0,92,82,124,19,0,0,N
R,0,0,0,0,8,0,0,N
PF,1,0,1,0,2,2,1,N
R,1,1,4,3,0,0.1,4,N
R,0,0,0,0,0,0,15,N
F,0,0,0,0,0,0,4,N
PF,117,132,131,0,12,0,0,N
PF,23,3,9,0,0,0,1,N
PF,0,0,0,0,0,0,2,N
PF,0,0,0,16,2,0,3,N
R,0,0,0.1,0,0,0,0.1,N
R,1,0.1,0,0,0,0,0,N
PF,1,0.1,0.1,0,0,1,0,N
R,1,3,0.1,0.1,0.1,0,0,N
F,0,0,0,0,0,36,0,N
F,29,17,9,3,0.1,5,0,N
R,23,30,53,17,1,0,0,N
R,6,14,1,2,0,0,0,N
R,6,13,7,3,4,1,0.1,N
R,0,1,2,0,1,0.1,0,N
R,0,0,0,0,0,17,0,N
R,0,0,0,0,0,15,28,N
R,1,2,0,3,2,0,1,N
PF,3,0.1,1,0,7,0,2,N
R,0,5,0,0,0.1,0,0,N
F,0,0,0,0,0,15,15,N
F,0,0,21,22,1,0,0.1,N
R,8,0,0,0,111,117,10,N
R,0,0,0,40,0.1,0,1,N
F,0,0,0,0,0,22,0,N
F,0,0,0,0,0,31,0,N
F,18,1,1,14,6,0,0,N
PF,0,0,0,3,0,0,0,N
PF,4,0,2,3,1,0,0,N
PF,0,182,94,10,24,7,0,N
R,0,0,0,0,1,0,0,N
F,0,0,0,4,2,0,4,N
R,0,0,0,0,0.1,0,0,N
R,1,1,1,0.1,1,1,0,N
R,0,0,0,3,0,0,0,N
R,0,4,0,0,0,0,0,N
PF,0,0,0,83,5,0,0,N
R,0,0,0,0,0,0,89,N
R,1,3,1,0,0,0,0,N
PF,4,2,0.1,2,1,0,0,N
PF,5,0.1,2,1,1,1,0.1,N
F,0,0,0,0,3,11,4,N
R,2,8,0.1,0,0,0,0,N
R,31,0,0,0,1,2,2,N
R,0,0,0,0,4,12,41,N
F,0,0,0,0,0,0,16,N
F,0,0,0,13,6,0,0,N
PF,0.1,0.1,1,0.1,0,0.1,0.1,N
R,0.1,0.1,0,0,0.1,0,0,N
R,0,0,0,1,0,0,0,N
F,0,0,0,49,0,0,0,N
PF,0,2,2,0.1,0,0,0,N
F,0,0,0,0,0,0,3,N
PF,0,0,0,16,0,45,0,N
PF,2,3,5,1,0,0,0,N
PF,1,3,0,0,1,0,1,N
PF,0,1,0,0,1,0,0,N
R,0,0,0,0,0,68,0,N
R,0,0,0,0,0.1,0,0,N
PF,15,3,0.1,1,28,16,0.1,N
R,0.1,0,0,0,0,0,0,N
R,1,0,0,0,1,0,0,N
F,0,0,0,0,0,0,13,N
F,0,0,0,0,0,17,0,N
F,0,0,0,0,0,20,0,N
F,0,0,0,0,0,56,13,N
F,0,0,0,0,49,0,0,N
F,0,21,0,0,4,0,5,N
F,0,8,0,0,0,0,0,N
PF,0,178,145,0,0,0,0,N
PF,0,42,8,22,3,1,0.1,N
PF,0,0,13,0,0,0,0,N
PF,1,11,10,0,0,0,0,N
PF,0,0,3,2,0,0,2,N
PF,0,0,0,0,1,0,0,N
PF,2,2,0,0,0,0,0,N
R,26,36,14,28,5,12,0,N
R,2,0,3,0,0,2,0,N
R,11,0,0,0,0,0,8,N
R,0,0,1,0,0,0,0.1,N
R,0,0,0,0,0,0,1,N
R,0,0,0,0,0,0,2,N
R,0,0,0,0,5,0,0,N
R,0,0,0,0,29,15,14,N
R,0,0,0,21,0,0,0,N
R,0,0,3,0,0,121,30,N
R,0,24,0,0,0,0,0,N
R,0,0,0,19,0,0,0,N
R,4,0,0,0,0,0,0,N
F,0,0,0,0,2,18,0,N
R,7,0,0,7,0,0,13,N
F,0,0,0,0,16,0,0,N
PF,0,0,2,0,0,0,0,N
R,0,2,0,0,0,12,0,N
R,0,0.1,4,3,1,0,0.1,N
R,3,3,2,2,6,0,4,N
R,0,0,1,0,0,1,0,N
R,0,0,0,46,2,0,0,N
F,0,0,68,70,74,2,0,N
R,6,3,4,0,0.1,3,0,N
R,0,0.1,0,0,0,0,0,N
R,1,0.1,0.1,0,0,0,0,N
R,4,95,228,193,198,107,101,N
R,0,0,0,0,0,9,26,N
F,0,0,0,0,0,0,15,N
F,0,0,0,22,59,36,12,N
PF,0,143,9,1,0,0.1,0,N
PF,1,1,0,0,0,1,0,N
PF,0,0,0,0,0,0,0.1,N
PF,6,0.1,1,0,0,0,0.1,N
PF,1,1,0,0,1,0.1,0,N
R,0.1,0,0,0,0,0,0,N
R,0,0,0,0,22,60,0,N
F,0,7,6,1,6,0.1,23,N
PF,0,0,0,0,15,16,8,N
PF,0,0,0,0,0.1,0,0,N
R,0,0,0,0,82,0,5,N
R,0,0,0,0,0,7,0,N
R,6,22,22,0,9,0,0,N
R,0,0,0,0,0,1,0.1,N
R,0,0,0,1,1,1,0,N
R,24,33,2,11,5,16,1,N
PF,4,1,1,0.1,1,1,1,N
R,0.1,0.1,0,0,0.1,0,0,N
PF,5,5,25,0,3,0,5,N
R,21,0,8,0,0,0,1,N
R,0,0,0,0,0,61,9,N
F,0,0,0,0,2,8,0,N
PF,2,0,1,1,1,1,1,N
F,0,0,0,0,7,10,0.1,N
F,0,0,0,0,0,0,0.1,N
F,0,0,0,0,50,2,0,N
PF,1,0,0,0,0,0,0,N
R,0.1,0,2,0,1,1,0.1,N
R,0,0,0,0.1,1,0.1,5,N
F,0,0,0,0,0,1,3,N
F,0,0,24,217,31,31,0,N
R,0,66,0,0,0,1,2,N
F,177,927,0,0,18,1,1,N
R,0.1,1,0,0,0,1,2,N
PF,8,0,0,0,0,0,0,N
R,0,0,0,0,0,0,1,N
R,0,18,34,17,8,0,0,N
F,0,0,0,0,0,39,0,N
PF,0,0,0,12,12,0,0,N
PF,0,0,0,0,0,0,0.1,N
R,0,0,65,0,35,2,0,N
PF,0,0.1,0,0.1,0,0.1,0,N
PF,29,73,33,1,5,1,2,N
R,276,77,343,48,1,1,0.1,N
R,0,0,0,0,0,0,1,N
F,0,0,23,27,5,1,0,N
PF,105,60,52,7,4,0,0,N
PF,2,23,25,17,6,1,1,N
PF,49,5,1,1,0,0,0.1,N
R,12,23,32,0,26,31,2,N
F,0,0,1,0,37,0,0,N
PF,68,0,7,3,3,0,1,N
PF,0,0,0,53,11,11,0,N
R,1,1,4,1,0.1,0,0,N
R,0,0,0,0.1,0,0.1,0,N
F,0,0,0,0,24,8,0,N
F,0,14,38,10,4,0,2,N
R,0,0.1,1,0,0,0.1,0,N
R,0,0,0.1,0,0.1,0,0,N
R,0,0,0,0.1,0,0,0,N
R,153,238,131,0,60,1,3,N
F,0,0,0,0,0,8,29,N
F,7,16,21,5,2,5,0,N
F,0,0,0,0,0,0,1,N
F,7,1,0,3,11,1,0,N
R,0,0,0,25,35,34,4,N
F,0,0,0,0,0,0,37,N
F,0,22,12,41,10,17,2,N
PF,1,0.1,0,0,0.1,0,0,N
F,0,0,0,0,15,2,4,N
PF,0,23,14,3,16,31,3,N
PF,159,1,1,0,0,0,0,N
PF,0,3,2,0,0,0,0,N
PF,0,1,0,0,0,0,0,N
R,46,0,0,70,0.1,135,25,N
R,1,0,0,0,0,1,0,N
F,0,0,0,0,27,0,0,N
F,0,0,11,29,0,0,3,N
PF,1,0,2,0,0,0,0,N
PF,0,0.1,0,35,54,10,0,N
R,0,0.1,0,0,0,0,0,N
R,0,0,0,24,25,1,0.1,N
F,0,0,0,0,0,4,4,N
R,0,0,0,20,5,1,0.1,N
R,0,0,0,17,21,0,19,N
F,0,0,0,0,0,0,2,N
F,0,0,0,0,0,1,0.1,N
F,0,0,0,0,11,0,1,N
PF,0,0,0,0,2,0,0,N
PF,5,0,3,0,1,0.1,0.1,N
PF,0,0,0.1,0,0.1,0,0,N
PF,0,0,30,0,0,0,0,N
PF,0,0,1,0,0,1,0.1,N
PF,0,10,0.1,0,1,1,1,N
R,5,0,41,0,0,0,0,N
R,0,0,0,0,0,0,0.1,N
F,0,0,0,0,4,10,2,N
F,0,0,0,55,7,0,0,N
R,6,2,0.1,0.1,1,0.1,0.1,N
R,0,0,1,0,0.1,0.1,0,N
F,0,0,0,0,1,0,0,N
F,35,0,0,0,0,0,0,N
PF,2,0,0.1,1,0.1,1,0,N
PF,10,0,0,0,0,8,0,N
PF,11,6,7,4,0,0,0,N
PF,0,0,0.1,0,0,0,0,N
PF,0,0,0,0,1,0,0,N
F,0,0,0,0,2,17,0,N
F,1,0,0,44,0.1,0,0,N
PF,50,6,11,25,6,1,0,N
PF,0.1,0,0,0,0,0,0.1,N
R,0.1,0,0.1,0,4,5,2,N
R,0,0,0,0,0.1,0,0,N
R,0,1,0,0,0,0,0.1,N
R,0,0,0,0,0,2,1,N
F,0,0,0,0,0,8,0,N
PF,0,0,0,0,12,8,6,N
F,0,0,0,0,0,54,0,N
F,0,19,0,0,0,0,0,N
R,121,376,133,43,243,45,14,N
PF,0.1,0,0.1,0,0,0,0,N
R,0,0.1,0,1,1,1,0,N
R,1,0.1,0,0,0.1,0,0,N
R,2,0.1,1,0,0,0,0,N
R,0,0,94,0,17,0,0,N
F,0,0,14,9,25,4,0,N
PF,0.1,0,1,0.1,1,1,0,N
R,0,0,0,0,0,0,0.1,N
F,0,0,0,40,0,0,0,N
F,0,0,29,8,0,0.1,0.1,N
PF,0,0,0.1,0,5,0,5,N
F,0,0,16,0,0,0,0,N
PF,0,0,5,0,2,1,0.1,N
PF,1,0,0,0,0,0,0,N
R,0,0,2797,0,0,0,0,N
R,0,0,0,0,0,0,1,N
R,1,0,0,0,0,0,0,N
R,0.1,2,2,2,1,1,0.1,N
F,0,0,0,0,4,1,0,N
PF,0,2,5,0,0,0.1,0,N
PF,1,0.1,2,0,0,0,0,N
PF,0,0,0,0,0,0,2,N
R,0,0,0.1,0,0,0,0,N
R,0,0,0,0,0,0,0.1,N
R,0,0,0,0,0,0,0.1,N
R,0,117,686,8,0,0,0,N
R,0,0,0,0,7,12,2,N
PF,0,3,6,1,0,0,0,N
PF,0.1,0,1,0,0,0,0,N
F,0,23,5,15,12,0,15,N
R,0,0.1,0,0,0,0,0,N
R,1,0.1,0,12,0.1,0,2,N
F,0,17,169,0.1,0,0,6,N
PF,5,1,11,3,1,0,0,N
PF,0,0,1,0,0,0,0,N
PF,4,4,0,0.1,4,0,0,N
R,0,29,28,0,66,60,55,N
R,0,0,0,0,0,0,0.1,N
R,15,9,24,20,43,27,3,N
R,0,6,14,0,0,0,0,N
PF,0.1,1,1,0,0,1,0,N
PF,1,0,0.1,0,0.1,0,0.1,N
R,0,0,0,0,0,0.1,0,N
PF,10,80,2,0,15,2,0,N
F,0,0,0,0,0,0.1,5,N
F,0,0,0,0,0,84,2,N
F,0,0,0,0,0,55,79,N
PF,0,1,5,0,0,0,1,N
R,0,0,0,1,0.1,1,0,N
PF,0,0,1,1,0,0,0,N
PF,1,0.1,3,1,3,15,0,N
PF,11,1,0,102,22,1,1,N
R,527,10,0,0,0,0,0,N
R,0.1,1,0,0,0.1,0.1,0,N
R,0,2,0,0,0,0,0.1,N
F,0,0,0,25,0.1,0.1,0,N
PF,0,0,0,3,4,9,8,N
PF,0,0,19,15,0,0,0,N
PF,0,0,0.1,0,0,0,0,N
PF,2,1,1,0,2,43,20,N
R,75,75,0,0,0,0,60,N
R,0,0,0,0,0,0,0.1,N
R,0,0,0,0,0,0,0.1,N
PF,6,21,1,4,10,2,0.1,N
PF,0.1,0.1,0,5,0.1,0,0.1,N
PF,0,0,0,0.1,0,0,0,N
R,0,0,0,0.1,0,0.1,0,N
F,0,11,0,0,0,0,0,N
F,0,0,0,0,0,0,17,N
R,45,18,16,1,5,7,1,N
R,0,0.1,383,4,34,65,18,N
R,0.1,0,0,4,0,0.1,0,N
R,11,3,8,4,0,0,0,N
R,9,3,29,1,0,0,0,N
F,0,0,0,0,117,18,0,N
PF,2,33,69,0,29,8,2,N
F,0,0,0,0,0,0.1,0,N
PF,1,2,3,4,1,1,0.1,N
PF,1,0,0,0,0,0,0,N
R,0,0.1,1,0,1,0,0,N
R,0,0,0,1,1,0,0,N
R,2,0,0,0,2,0,0,N
R,0,0,0,8,0,0,0,N
F,0,0,55,0,0,0,0,N
PF,0,0,0.1,0,0,0,0,N
PF,0.1,0.1,0,0,0,0,0,N
PF,16,1,0,2,0,1,15,N
R,0,0,1,1,1,2,0,N
F,0,0,0,0,0,0,108,N
R,0,0.1,0,3,0,0,0,N
F,0,0,0,0,0,131,8,N
F,0,0,0,1,1,0,0.1,N
PF,1,27,1,18,5,0,0.1,N
PF,54,1,1,0,0,0,0,N
PF,4,6,0,0,37,2,0,N
PF,0,1,0.1,0,0,0,0,N
R,0.1,0,0.1,0.1,0,0,0.1,N
R,0,217,15,0,0,0,0,N
R,0,0,0,0,0,0,0.1,N
PF,0,0,3,0,1,0,0,N
PF,0,0.1,0,8,29,17,1,N
PF,0.1,0,0,0,0.1,0,0,N
R,3,0.1,1,0,0,0.1,0,N
R,0,0,0,0,0.1,0,0,N
R,0,0,0.1,0,0,0,0,N
F,0,0,0,1,0.1,0,1,N
F,0,0,5,12,0,0.1,0,N
F,0,0,0,0,0,0,11,N
R,0,0,0.1,0.1,0,0.1,0,N
R,0,0,0.1,0.1,1,0,0.1,N
R,0.1,0,0,0,0,0,0,N
R,0.1,0.1,1,7,31,22,3,N
R,0,0,1,0,0.1,1,0.1,N
PF,0,1,0,0,0,0,0,N
PF,1,0,0,0,0,49,12,N
R,0,0.1,0,4,3,21,0,N
R,0,0,0,0,0,0,1,N
R,0,0,0,2,0,7,0,N
R,0,0,0,1,0,0,0,N
R,3,0,0,0,0,0.1,0,N
PF,0,0,0,0.1,1,3,1,N
PF,0.1,0,0,0,0,0.1,0,N
PF,0,0,0,0,1,2,0,N
PF,0,0,0,0,0,84,37,N
R,2,0,23,11,0,22,0,N
R,1,0,0,0,0,0,0,N
R,3,0.1,0,0,0,0,0,N
R,2,0,2,0,2,0,0,N
R,0,4,0,0,0,0,0,N
R,0,0,0,0,0,11,0,N
R,20,42,0,0,0,5,7,N
PF,0,0,6,7,9,8,9,N
R,8,11,3,7,0,0,0,N
R,0,0,0,9,10,4,0,N
R,0,0.1,0,0,0,0,0,N
R,0,0,0,1,1,0,0.1,N
F,0,0,0,0,0,0,17,N
PF,0.1,0.1,0.1,0.1,0.1,1,1,N
PF,0,0,0,0,0,27,0,N
R,0,0,0,1,5,0,23,N
PF,3,0,0,0,1,0,0,N
R,0,0,0,0,0.1,0,0.1,N
R,36,26,17,6,1,6,0,N
PF,0,0.1,0,0,0,0,0,N
R,0,0,0.1,0.1,0,0.1,0,N
F,15,4,0,0,0,0,0,N
F,50,100,3,32,38,0,1,N
PF,1,1,0,0,0,0,197,N
PF,0,0.1,0.1,0,0,0,0,N
PF,0,0,0,0,0,0,0.1,N
F,0,0.1,0,11,9,4,0,N
PF,0,0,0,99,61,0,0,N
PF,0,8,0.1,0,0,0.1,0,N
PF,0,12,27,9,18,15,0,N
R,0,0,113,0,24,2,0,N
R,0,0,0,0.1,2,0.1,0.1,N
F,0,0,0,0,0,6,0,N
F,0,0,0,3,0,0,4,N
F,0,45,0,0,0.1,1,1,N
F,0,0,0,0,8,5,0,N
PF,0,0,0,0.1,0,0.1,0.1,N
R,0,30,0,0,0,0,0,N
R,0,0,1,0,0,0,0,N
PF,0.1,0,0,0,0,0,0,N
R,0,0,0,0,0,0.1,0,N
F,0,0,32,5,0,0,0,N
F,0,0,66,29,0,12,7,N
F,34,0,5,0,0,0,0,N
F,0,0,0,143,115,43,98,N
R,2,3,1,0.1,0,0,0.1,N
R,0,0,0.1,0,0,0,0,N
R,0,7,0,0,0,0,0,N
R,0,0,0,1,0,0.1,2,N
PF,0,1,0.1,0,0,0,2,N
R,0,0,2,0,0,0,0,N
R,4,0,6,0,3,0,0,N
R,0,6,0,34,4,0,0,N
R,0,0,0,1,0,0,0,N
R,0,0,0,0,0,0,1,N
F,0,0,0,0,0,139,177,N
F,0,0,0,0,0.1,0,0,N
F,0,0,0,0.1,0.1,0,0.1,N
F,29,58,2,9,19,66,20,N
PF,0,0,2,0,0,0,0,N
PF,4,0,0,1,0,0,0,N
PF,5,8,0,0,1,0,0,N
PF,0,38,118,56,14,0,0,N
R,0,0.1,1,0,0,0,0,N
PF,10,54,5,1,1,0,0,N
R,0,0,0,0,0,4,0,N
R,0,0,0,0.1,0,1,0.1,N
R,57,14,28,4,0,0,0,N
R,2,0,0,0,1,0.1,0,N
R,0,0,0,0,0,9,3,N
R,0,0,0,0,0,4,0,N
R,0,0,1,0,0,0,0,N
R,0,88,4,0,0,0,0,N
F,0,0,40,3,1,0,0,N
PF,1,41,20,0,0,0,0,N
PF,0,0,0,1,0,0,0,N
PF,3,0,0,0,0,2,0,N
R,0,0.1,0,0,0,0.1,0,N
R,0,176,21,50,0.1,1,0.1,N
R,10,0,0,0,0,0,0,N
R,3,0,0,1,0,0,0,N
F,0,0,0,3,5,14,0,N
F,0,10,0,1,0.1,1,0,N
PF,0,0,0,0,0,0.1,0,N
PF,0,0,8,0,0,0,0,N
PF,0,0,0,0,0,0,0.1,N
PF,1,0.1,0,1,0.1,0,0,N
PF,1,0,10,15,25,1,1,N
R,0,0,0,8,0,0,0,N
R,0,92,1,0,1,1,0.1,N
R,1,1,2,0,0,0,0,N
F,0,0,0,5,1,13,0,N
R,0,12,0,0,0,0,0,N
R,1,2,0,0,0.1,4,2,N
R,3,7,1,0,0,0,0,N
F,0,0,0,1,1,0,0,N
PF,19,24,0,0,0,0,0,N
PF,15,24,7,13,5,2,6,N
PF,1,0,0.1,0,0,1,0,N
PF,0.1,0.1,0,0,0,0,0,N
PF,0,0,0.1,5,1,2,0,N
PF,0,0,0,0,0,0,5,N
PF,0,0,0,44,0,0,0,N
R,0,0,0,5,0,0,0,N
R,0.1,0,0.1,0.1,11,7,0,N
F,0,0,0,0,0,0,4,N
PF,3,2,0,6,0,0,0,N
F,0,0,0,0,0,22,0,N
R,0,0,0,0,0,5,0.1,N
R,0,0,13,11,0,0,7,N
PF,1,0.1,0.1,0.1,2,1,0,N
PF,1,0,0,0,12,6,0,N
PF,0,0,0,2,0,0,3,N
PF,24,77,32,0,0,0.1,0,N
PF,0,6,0,0,0,0,0,N
PF,0.1,0.1,0,0.1,0.1,0,0,N
R,0,0,0,0,0.1,2,0,N
R,0,0,0,0,0.1,0,1,N
R,0.1,0.1,0,0,0,0,0.1,N
F,0,0,0,0,0,15,0,N
R,1,0,0,0,0,0,0,N
R,0,0,0,0,0,0,0.1,N
R,1,0,0,1,0,0,0.1,N
PF,0,0.1,0,0,0,0,0,N
R,0,0,0,0.1,0,0,0,N
R,0,0,0,51,95,1,0,N
R,1,0,0,0,0,0,0,N
F,0,0,0,23,3,0,0,N
PF,0.1,0,0.1,0,0,0,0,N
R,0,0,0.1,0,0.1,0,1,N
R,0,0,0,0,0,21,1,N
R,0,0,0,0,0,0.1,0,N
F,0,0,0,0,31,0,0,N
PF,4,20,4,2,3,4,1,N
R,0,0,0,1,0,0,0.1,N
F,0,0,0,0,0,0,12,N
F,0,71,10,0,4,0,0,N
PF,7,23,0,0,2,0,0,N
PF,14,15,14,7,12,17,9,N
PF,0,2,156,16,10,6,0,N
PF,0,0,11,0,0.1,0.1,1,N
PF,18,0,10,11,0.1,0,0,N
R,0,0,0,0,0,1,0,N
R,0,0,0,0,0,1,0,N
PF,0,0,1,0,0,0,0,N
R,8,1,0,0,1,0,1,N
R,0,0,0.1,0,0,0,0,N
PF,0,0,0,0,0,0,0.1,N
PF,0,0,0,4,0,3,0,N
R,3,1,0,0,0,0,0,N
R,0,0.1,0,0,0,0,0,N
PF,3,106,38,11,4,1,1,N
R,5,0,0,0,0,0,0,N
PF,38,28,11,30,0,0,0,N
PF,26,19,2,2,0.1,0,0,N
PF,0,0,0,9,0,0,0,N
PF,0,0,21,0,0,0,0,N
PF,2,0,0,0,0,0,0,N
R,0,0,0,0,0.1,0.1,0,N
R,0,0,0,0,0,0,0.1,N
R,5,5,0,0,0,0,0,N
R,0,0,15,1,0,0,0,N
R,0,0,0,0,0,0.1,0,N
F,0,0,0,0,0,46,0,N
F,0,0,0,2,0,0,0,N
F,0,0,0,3,0,4,0,N
F,0,0,0,0,80,14,30,N
F,0,17,16,0,0,0,0,N
PF,119,13,0,0,0,1,0,N
PF,0,1,0,0,0,0,0,N
PF,1,0.1,0,2,10,1,0,N
PF,0.1,0,4,5,2,1,0,N
PF,0,199,11,0,0,6,1,N
PF,0,9,59,0,0,0,0,N
PF,2,1,76,10,3,5,0.1,N
PF,0,0,0,0,0,0.1,0,N
R,0,1,0,3,0,0,0,N
R,0,1,0,0,0,0,2,N
PF,30,5,1,1,0,0,0,N
F,0,0,0,0,12,2,0,N
F,0,0,3,1,0,0,0,N
PF,6,1,0,0,0,1,0,N
PF,0,1,1,0,0,0,3,N
R,0,0,0,0,0,0,3,N
R,0.1,0,0,9,11,10,1,N
R,0,0,1,0.1,0,0.1,0,N
F,0,0,0,0,0.1,1,0,N
R,0,0,0,0,0,1,0,N
PF,0,0,0,0,0,0,0.1,N
PF,1,1,0,0,0,0,0,N
R,0,0,0,1,0,0,0,N
R,0,11,0.1,0,0,0,0,N
PF,0,3,0,0,0,0,0.1,N
PF,0,0,0,1,0,0,0,N
PF,0,0,2,0,0.1,0,0,N
R,0,1,0,0,0,0,0,N
R,7,0,0,2,1,0.1,1,N
PF,2,0,0,0,1,0,6,N
PF,0,4,1,0.1,0.1,0.1,0,N
R,0,0,2,0,1,0,0,N
R,0,0,0,0,1,0,0,N
R,10,0,2,0,0,0,0,N
F,0,0,0,0,0,47,17,N
PF,2,3,0,0,0,0,1,N
PF,2,0,0,0,0,0,0,N
F,26,25,0,0,0,0,0,N
R,0,0,0,0.1,0,0,0,N
R,0,0,1,0,0,0.1,0,N
R,0,0,0.1,0,0,0,0,N
R,0,17,28,0,0,0.1,0,N
R,0,0,40,0,0,0.1,0,N
R,0,0,0,0,0,0,33,N
R,0,0,0,27,0,0,0,N
F,5,0,0,0,0,0,0,N
PF,0,0,1,0,0,0,0,N
PF,0,0,0,0,0,0,0.1,N
PF,0.1,0,0,0,0,2,4,N
R,0.1,0,0.1,0,0,0,0,N
PF,0,0,0,0,2,0,0,N
PF,0,0,1,1,0,0,0,N
R,0,0,0,0.1,0,1,2,N
R,0,0,0.1,0,0,0,0.1,N
PF,0,0,43,0,0,0,0,N
PF,1,1,0,1,0.1,0.1,0.1,N
PF,0,0,0,30,0,0,0,N
PF,0,0,1,18,0.1,0,0,N
R,0.1,0.1,1,0,0,0.1,0,N
PF,0,0.1,0,0,0.1,5,1,N
PF,8,0,0,0,0,0,0,N
PF,0.1,0.1,8,0,0.1,0.1,0.1,N
PF,1,1,0,0,0,0.1,0.1,N
R,0,0,0,0,4,0,9,N
R,0,0,3,0,0,0,1,N
R,0,64,4,1,61,17,0,N
F,0,0,0,0,0,0,4,Y
F,0,0,0,0,0,0,1,Y
F,0,0,0,0,0,0,6,N
F,0,0,0,0,0,0,6,Y
F,0,0,0,0,0,0,13,N
F,0,0,0,0,0,0,75,Y
F,0,0,0,0,0,0,30,Y
F,0,0,0,0,0,0,1,Y
F,0,0,0,0,0,0,2,Y
F,0,0,0,0,0,0,50,Y
F,0,0,0,0,0,0,19,Y
F,0,0,0,0,0,0,13,Y
F,0,0,0,0,0,0,65,Y
F,0,0,0,0,0,0,12,Y
F,0,0,0,0,0,0,25,Y
F,0,0,0,0,0,0,6,Y
F,0,0,0,0,0,0,36,N
F,0,0,0,0,0,0,24,Y
F,0,0,0,0,0,0,21,Y
F,0,0,0,0,0,0,1,Y
F,0,0,0,0,0,0,1,Y
F,0,0,0,0,0,0,27,Y
F,0,0,0,0,0,0,24,Y
F,0,0,0,0,0,0,5,Y
F,0,0,0,0,0,0,6,N
F,0,0,0,0,0,0,26,Y
F,0,0,0,0,0,0,75,Y
F,0,0,0,0,0,0,16,N
F,0,0,0,0,0,0,4,Y
F,0,0,0,0,0,0,20,Y
F,0,0,0,0,0,0,30,Y
F,0,0,0,0,0,0,28,Y
F,0,0,0,0,0,0,4,Y
F,0,0,0,0,0,0,8,Y
F,0,0,0,0,0,0,0.1,Y
F,0,0,0,0,0,0,16,Y
F,0,0,0,0,0,0,1,Y
F,0,0,0,0,0,0,9,Y
F,0,0,0,0,0,0,22,Y
F,0,0,0,0,0,0,0.1,Y
F,0,0,0,0,0,0,0.1,Y
F,0,0,0,0,0,0,15,N
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,25,Y
F,0,0,0,0,0,0,33,Y
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,18,N
F,0,0,0,0,0,0,0.1,Y
F,0,0,0,0,0,0,62,N
F,0,0,0,0,0,0,14,Y
F,0,0,0,0,0,0,42,N
F,0,0,0,0,0,0,30,Y
F,0,0,0,0,0,0,10,Y
F,0,0,0,0,0,0,20,Y
F,0,0,0,0,0,0,284,Y
F,0,0,0,0,0,0,5,Y
F,0,0,0,0,0,0,116,Y
F,0,0,0,0,0,0,46,Y
F,0,0,0,0,0,0,20,Y
F,0,0,0,0,0,0,39,Y
F,0,0,0,0,0,0,5,Y
F,0,0,0,0,0,0,6,Y
F,0,0,0,0,0,0,156,Y
F,0,0,0,0,0,0,60,Y
F,0,0,0,0,0,0,30,Y
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,13,Y
F,0,0,0,0,0,0,23,Y
F,0,0,0,0,0,0,1,Y
F,0,0,0,0,0,0,3,Y
F,0,0,0,0,0,0,14,N
F,0,0,0,0,0,0,2,Y
F,0,0,0,0,0,0,31,Y
F,0,0,0,0,0,0,1,Y
F,0,0,0,0,0,0,536,Y
F,0,0,0,0,0,0,92,N
F,0,0,0,0,0,0,86,Y
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,18,Y
F,0,0,0,0,0,0,48,N
F,0,0,0,0,0,0,7,Y
F,0,0,0,0,0,0,50,N
F,0,0,0,0,0,0,36,Y
F,0,0,0,0,0,0,17,Y
F,0,0,0,0,0,0,45,N
F,0,0,0,0,0,0,36,Y
F,0,0,0,0,0,0,201,Y
F,0,0,0,0,0,0,45,Y
F,0,0,0,0,0,0,18,Y
F,0,0,0,0,0,0,29,Y
F,0,0,0,0,0,0,400,Y
F,0,0,0,0,0,0,0.1,Y
F,0,0,0,0,0,0,43,N
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,2,N
F,0,0,0,0,0,0,154,Y
F,0,0,0,0,0,0,25,Y
F,0,0,0,0,0,0,27,Y
F,0,0,0,0,0,0,1,N
F,0,0,0,0,0,0,35,Y
F,0,0,0,0,0,0,24,Y
F,0,0,0,0,0,0,21,Y
F,0,0,0,0,0,0,23,Y
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,5,Y
F,0,0,0,0,0,0,70,Y
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,64,Y
F,0,0,0,0,0,0,36,Y
F,0,0,0,0,0,0,5,N
F,0,0,0,0,0,0,8,Y
F,0,0,0,0,0,0,46,Y
F,0,0,0,0,0,0,5,Y
F,0,0,0,0,0,0,49,Y
F,0,0,0,0,0,0,14,Y
F,0,0,0,0,0,0,15,Y
F,0,0,0,0,0,0,8,N
F,0,0,0,0,0,0,33,N
F,0,0,0,0,0,0,25,N
F,0,0,0,0,0,0,9,N
F,0,0,0,0,0,0,41,Y
F,0,0,0,0,0,0,7,N
